id,Level 1,Level 2,Level 3,Column Text,UOM,GHG,GHG Conversion Factor 2017,valid_from,valid_to
158,Fuels,Liquid fuels,Diesel (100% mineral diesel),Tonnes,tonnes,kg CH4,0.61707,2017-01-01 00:00:00,2017-12-31 23:59:59
159,Fuels,Liquid fuels,Diesel (100% mineral diesel),Tonnes,tonnes,kg CO2,3164.33333,2017-01-01 00:00:00,2017-12-31 23:59:59
160,Fuels,Liquid fuels,Diesel (100% mineral diesel),Tonnes,tonnes,kg N2O,25.33649,2017-01-01 00:00:00,2017-12-31 23:59:59
161,Fuels,Liquid fuels,Fuel oil,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.26789,2017-01-01 00:00:00,2017-12-31 23:59:59
162,Fuels,Liquid fuels,Fuel oil,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00033,2017-01-01 00:00:00,2017-12-31 23:59:59
163,Fuels,Liquid fuels,Fuel oil,Energy - Gross CV,kWh (Gross CV),kg CO2,0.26695,2017-01-01 00:00:00,2017-12-31 23:59:59
164,Fuels,Liquid fuels,Fuel oil,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00061,2017-01-01 00:00:00,2017-12-31 23:59:59
165,Fuels,Liquid fuels,Fuel oil,Energy - Net CV,kWh (Net CV),kg CO2e,0.28499,2017-01-01 00:00:00,2017-12-31 23:59:59
166,Fuels,Liquid fuels,Fuel oil,Energy - Net CV,kWh (Net CV),kg CH4,0.00035,2017-01-01 00:00:00,2017-12-31 23:59:59
167,Fuels,Liquid fuels,Fuel oil,Energy - Net CV,kWh (Net CV),kg CO2,0.28399,2017-01-01 00:00:00,2017-12-31 23:59:59
168,Fuels,Liquid fuels,Fuel oil,Energy - Net CV,kWh (Net CV),kg N2O,0.00064,2017-01-01 00:00:00,2017-12-31 23:59:59
169,Fuels,Liquid fuels,Fuel oil,Volume,litres,kg CO2e,3.16976,2017-01-01 00:00:00,2017-12-31 23:59:59
170,Fuels,Liquid fuels,Fuel oil,Volume,litres,kg CH4,0.00394,2017-01-01 00:00:00,2017-12-31 23:59:59
171,Fuels,Liquid fuels,Fuel oil,Volume,litres,kg CO2,3.15866,2017-01-01 00:00:00,2017-12-31 23:59:59
172,Fuels,Liquid fuels,Fuel oil,Volume,litres,kg N2O,0.00716,2017-01-01 00:00:00,2017-12-31 23:59:59
173,Fuels,Liquid fuels,Fuel oil,Tonnes,tonnes,kg CO2e,3226.81942,2017-01-01 00:00:00,2017-12-31 23:59:59
174,Fuels,Liquid fuels,Fuel oil,Tonnes,tonnes,kg CH4,4.01592,2017-01-01 00:00:00,2017-12-31 23:59:59
175,Fuels,Liquid fuels,Fuel oil,Tonnes,tonnes,kg CO2,3215.51229,2017-01-01 00:00:00,2017-12-31 23:59:59
176,Fuels,Liquid fuels,Fuel oil,Tonnes,tonnes,kg N2O,7.2912,2017-01-01 00:00:00,2017-12-31 23:59:59
