id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2014,valid_from,valid_to
2014_113,Fuels,Solid,Biomass Fuels,short ton,short ton,mmbtu,Wood and Wood Residuals,17.48,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_114,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,kg CO2,Wood and Wood Residuals,93.8,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_115,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g CH4,Wood and Wood Residuals,7.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_116,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g N2O,Wood and Wood Residuals,3.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_117,Fuels,Solid,Biomass Fuels,short ton,short ton,kg CO2,Wood and Wood Residuals,1640,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_118,Fuels,Solid,Biomass Fuels,short ton,short ton,g CH4,Wood and Wood Residuals,126,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_119,Fuels,Solid,Biomass Fuels,short ton,short ton,g N2O,Wood and Wood Residuals,63,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_120,Fuels,Gaseous,Natural Gas,scf,scf,mmbtu,Natural Gas,0.001026,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_121,Fuels,Gaseous,Natural Gas,mmbtu,mmbtu,kg CO2,Natural Gas,53.06,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_122,Fuels,Gaseous,Natural Gas,mmbtu,mmbtu,g CH4,Natural Gas,1,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_123,Fuels,Gaseous,Natural Gas,mmbtu,mmbtu,g N2O,Natural Gas,0.1,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_124,Fuels,Gaseous,Natural Gas,scf,scf,kg CO2,Natural Gas,0.05444,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_125,Fuels,Gaseous,Natural Gas,scf,scf,g CH4,Natural Gas,0.00103,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_126,Fuels,Gaseous,Natural Gas,scf,scf,g N2O,Natural Gas,0.0001,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_127,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,mmbtu,Blast Furnace Gas,0.000092,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_128,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,kg CO2,Blast Furnace Gas,274.32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_129,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g CH4,Blast Furnace Gas,0.022,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_130,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g N2O,Blast Furnace Gas,0.1,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_131,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,kg CO2,Blast Furnace Gas,0.02524,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_132,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g CH4,Blast Furnace Gas,0.000002,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_133,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g N2O,Blast Furnace Gas,0.000009,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_134,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,mmbtu,Coke Oven Gas,0.000599,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_135,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,kg CO2,Coke Oven Gas,46.85,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_136,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g CH4,Coke Oven Gas,0.48,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_137,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g N2O,Coke Oven Gas,0.1,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_138,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,kg CO2,Coke Oven Gas,0.02806,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_139,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g CH4,Coke Oven Gas,0.000288,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_140,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g N2O,Coke Oven Gas,0.00006,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_141,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,mmbtu,Fuel Gas,0.001388,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_142,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,kg CO2,Fuel Gas,59,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_143,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g CH4,Fuel Gas,3,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_144,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g N2O,Fuel Gas,0.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_145,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,kg CO2,Fuel Gas,0.08189,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_146,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g CH4,Fuel Gas,0.004164,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_147,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g N2O,Fuel Gas,0.000833,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_148,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,mmbtu,Propane Gas,0.002516,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_149,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,kg CO2,Propane Gas,61.46,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_150,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g CH4,Propane Gas,0.022,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_151,Fuels,Gaseous,Fossil-derived Fuels,mmbtu,mmbtu,g N2O,Propane Gas,0.1,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_152,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,kg CO2,Propane Gas,0.15463,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_153,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g CH4,Propane Gas,0.000055,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_154,Fuels,Gaseous,Fossil-derived Fuels,scf,scf,g N2O,Propane Gas,0.000252,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_155,Fuels,Gaseous,Biomass Fuels,scf,scf,mmbtu,Landfill Gas,0.000485,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_156,Fuels,Gaseous,Biomass Fuels,mmbtu,mmbtu,kg CO2,Landfill Gas,52.07,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_157,Fuels,Gaseous,Biomass Fuels,mmbtu,mmbtu,g CH4,Landfill Gas,3.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_158,Fuels,Gaseous,Biomass Fuels,mmbtu,mmbtu,g N2O,Landfill Gas,0.63,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_159,Fuels,Gaseous,Biomass Fuels,scf,scf,kg CO2,Landfill Gas,0.025254,2014-01-01 00:00:00,2014-12-31 23:59:59
